fullname,texturepath,ptmf,leaf,title,support,dims,thickness,area,year,edition,printpath,suffix,rv,tr,height,width,portrait,leafside,leaflightangle,suffixportrait,rvportrait,editionportrait,editionsuffix,editionsuffixportrait,editionside,editionsideportrait,editionlightangle,editionlightangleportrait
1256_8_rt,img/1256_8_rt.jpeg,1256,1256_8,Figure endormie chale sur les jambes,ARCHES,26.8 x 38 cm,0.431,1018,1929,5,prints/5_1929_1256-101029.jpg,rt,r,t,26.8,38.0,False,1256_8_r,1256_8_t,rt_False,r_False,5_False,5_rt,5_rt_False,5_r,5_r_False,5_t,5_t_False
1256_8_vr,img/1256_8_vr.jpeg,1256,1256_8,Figure endormie chale sur les jambes,ARCHES,26.8 x 38 cm,0.431,1018,1929,5,prints/5_1929_1256-101029.jpg,vr,v,r,26.8,38.0,False,1256_8_v,1256_8_r,vr_False,v_False,5_False,5_vr,5_vr_False,5_v,5_v_False,5_r,5_r_False
1256_8_vt,img/1256_8_vt.jpeg,1256,1256_8,Figure endormie chale sur les jambes,ARCHES,26.8 x 38 cm,0.431,1018,1929,5,prints/5_1929_1256-101029.jpg,vt,v,t,26.8,38.0,False,1256_8_v,1256_8_t,vt_False,v_False,5_False,5_vt,5_vt_False,5_v,5_v_False,5_t,5_t_False
1256_essai_japon_rr,img/1256_essai_japon_rr.jpeg,1256,1256_essai_japon,Figure endormie chale sur les jambes,Japon,26.8 x 38 cm,0.202,1018,1929,5,prints/5_1929_1256-101029.jpg,rr,r,r,26.8,38.0,False,1256_essai_japon_r,1256_essai_japon_r,rr_False,r_False,5_False,5_rr,5_rr_False,5_r,5_r_False,5_r,5_r_False
1256_essai_japon_rt,img/1256_essai_japon_rt.jpeg,1256,1256_essai_japon,Figure endormie chale sur les jambes,Japon,26.8 x 38 cm,0.202,1018,1929,5,prints/5_1929_1256-101029.jpg,rt,r,t,26.8,38.0,False,1256_essai_japon_r,1256_essai_japon_t,rt_False,r_False,5_False,5_rt,5_rt_False,5_r,5_r_False,5_t,5_t_False
1256_essai_japon_vr,img/1256_essai_japon_vr.jpeg,1256,1256_essai_japon,Figure endormie chale sur les jambes,Japon,26.8 x 38 cm,0.202,1018,1929,5,prints/5_1929_1256-101029.jpg,vr,v,r,26.8,38.0,False,1256_essai_japon_v,1256_essai_japon_r,vr_False,v_False,5_False,5_vr,5_vr_False,5_v,5_v_False,5_r,5_r_False
1256_essai_japon_vt,img/1256_essai_japon_vt.jpeg,1256,1256_essai_japon,Figure endormie chale sur les jambes,Japon,26.8 x 38 cm,0.202,1018,1929,5,prints/5_1929_1256-101029.jpg,vt,v,t,26.8,38.0,False,1256_essai_japon_v,1256_essai_japon_t,vt_False,v_False,5_False,5_vt,5_vt_False,5_v,5_v_False,5_t,5_t_False
1256_essai_rr,img/1256_essai_rr.jpeg,1256,1256_essai,Figure endormie chale sur les jambes,ARCHES,26.8 x 38 cm,0.364,1018,1929,5,prints/5_1929_1256-101029.jpg,rr,r,r,26.8,38.0,False,1256_essai_r,1256_essai_r,rr_False,r_False,5_False,5_rr,5_rr_False,5_r,5_r_False,5_r,5_r_False
1256_essai_rt,img/1256_essai_rt.jpeg,1256,1256_essai,Figure endormie chale sur les jambes,ARCHES,26.8 x 38 cm,0.364,1018,1929,5,prints/5_1929_1256-101029.jpg,rt,r,t,26.8,38.0,False,1256_essai_r,1256_essai_t,rt_False,r_False,5_False,5_rt,5_rt_False,5_r,5_r_False,5_t,5_t_False
1256_essai_vr,img/1256_essai_vr.jpeg,1256,1256_essai,Figure endormie chale sur les jambes,ARCHES,26.8 x 38 cm,0.364,1018,1929,5,prints/5_1929_1256-101029.jpg,vr,v,r,26.8,38.0,False,1256_essai_v,1256_essai_r,vr_False,v_False,5_False,5_vr,5_vr_False,5_v,5_v_False,5_r,5_r_False
1256_essai_vt,img/1256_essai_vt.jpeg,1256,1256_essai,Figure endormie chale sur les jambes,ARCHES,26.8 x 38 cm,0.364,1018,1929,5,prints/5_1929_1256-101029.jpg,vt,v,t,26.8,38.0,False,1256_essai_v,1256_essai_t,vt_False,v_False,5_False,5_vt,5_vt_False,5_v,5_v_False,5_t,5_t_False
1265_4_rr,img/1265_4_rr.jpeg,1265,1265_4,Nu au coussin bleu a cote d'une cheminee,J PERRIGOT ARCHES,63.6 x 47.8 cm,0.211,3040,1925,3,prints/3_1925_1265-101056.jpg,rr,r,r,63.6,47.8,True,1265_4_r,1265_4_r,rr_True,r_True,3_True,3_rr,3_rr_True,3_r,3_r_True,3_r,3_r_True
1265_4_rt,img/1265_4_rt.jpeg,1265,1265_4,Nu au coussin bleu a cote d'une cheminee,J PERRIGOT ARCHES,63.6 x 47.8 cm,0.211,3040,1925,3,prints/3_1925_1265-101056.jpg,rt,r,t,63.6,47.8,True,1265_4_r,1265_4_t,rt_True,r_True,3_True,3_rt,3_rt_True,3_r,3_r_True,3_t,3_t_True
1265_4_vr,img/1265_4_vr.jpeg,1265,1265_4,Nu au coussin bleu a cote d'une cheminee,J PERRIGOT ARCHES,63.6 x 47.8 cm,0.211,3040,1925,3,prints/3_1925_1265-101056.jpg,vr,v,r,63.6,47.8,True,1265_4_v,1265_4_r,vr_True,v_True,3_True,3_vr,3_vr_True,3_v,3_v_True,3_r,3_r_True
1265_4_vt,img/1265_4_vt.jpeg,1265,1265_4,Nu au coussin bleu a cote d'une cheminee,J PERRIGOT ARCHES,63.6 x 47.8 cm,0.211,3040,1925,3,prints/3_1925_1265-101056.jpg,vt,v,t,63.6,47.8,True,1265_4_v,1265_4_t,vt_True,v_True,3_True,3_vt,3_vt_True,3_v,3_v_True,3_t,3_t_True
1265_essai_rr,img/1265_essai_rr.jpeg,1265,1265_essai,Nu au coussin bleu a cote d'une cheminee,MBM,63.6 x 47.8 cm,0.231,3040,1925,3,prints/3_1925_1265-101056.jpg,rr,r,r,63.6,47.8,True,1265_essai_r,1265_essai_r,rr_True,r_True,3_True,3_rr,3_rr_True,3_r,3_r_True,3_r,3_r_True
1265_essai_rt,img/1265_essai_rt.jpeg,1265,1265_essai,Nu au coussin bleu a cote d'une cheminee,MBM,63.6 x 47.8 cm,0.231,3040,1925,3,prints/3_1925_1265-101056.jpg,rt,r,t,63.6,47.8,True,1265_essai_r,1265_essai_t,rt_True,r_True,3_True,3_rt,3_rt_True,3_r,3_r_True,3_t,3_t_True
1265_essai_vr,img/1265_essai_vr.jpeg,1265,1265_essai,Nu au coussin bleu a cote d'une cheminee,MBM,63.6 x 47.8 cm,0.231,3040,1925,3,prints/3_1925_1265-101056.jpg,vr,v,r,63.6,47.8,True,1265_essai_v,1265_essai_r,vr_True,v_True,3_True,3_vr,3_vr_True,3_v,3_v_True,3_r,3_r_True
1265_essai_vt,img/1265_essai_vt.jpeg,1265,1265_essai,Nu au coussin bleu a cote d'une cheminee,MBM,63.6 x 47.8 cm,0.231,3040,1925,3,prints/3_1925_1265-101056.jpg,vt,v,t,63.6,47.8,True,1265_essai_v,1265_essai_t,vt_True,v_True,3_True,3_vt,3_vt_True,3_v,3_v_True,3_t,3_t_True
1294_10_rr,img/1294_10_rr.jpeg,1294,1294_10,Torse nue au collier d'ambre,ARCHES,55.9 x 45.1 cm,0.342,2521,1929,13,prints/13_1929_1294-102001.jpg,rr,r,r,55.9,45.1,True,1294_10_r,1294_10_r,rr_True,r_True,13_True,13_rr,13_rr_True,13_r,13_r_True,13_r,13_r_True
1294_10_rt,img/1294_10_rt.jpeg,1294,1294_10,Torse nue au collier d'ambre,ARCHES,55.9 x 45.1 cm,0.342,2521,1929,13,prints/13_1929_1294-102001.jpg,rt,r,t,55.9,45.1,True,1294_10_r,1294_10_t,rt_True,r_True,13_True,13_rt,13_rt_True,13_r,13_r_True,13_t,13_t_True
1294_10_vr,img/1294_10_vr.jpeg,1294,1294_10,Torse nue au collier d'ambre,ARCHES,55.9 x 45.1 cm,0.342,2521,1929,13,prints/13_1929_1294-102001.jpg,vr,v,r,55.9,45.1,True,1294_10_v,1294_10_r,vr_True,v_True,13_True,13_vr,13_vr_True,13_v,13_v_True,13_r,13_r_True
1294_10_vt,img/1294_10_vt.jpeg,1294,1294_10,Torse nue au collier d'ambre,ARCHES,55.9 x 45.1 cm,0.342,2521,1929,13,prints/13_1929_1294-102001.jpg,vt,v,t,55.9,45.1,True,1294_10_v,1294_10_t,vt_True,v_True,13_True,13_vt,13_vt_True,13_v,13_v_True,13_t,13_t_True
1294_29_rr,img/1294_29_rr.jpeg,1294,1294_29,Torse nue au collier d'ambre,ARCHES,55.9 x 45.1 cm,0.34,2521,1929,13,prints/13_1929_1294-102001.jpg,rr,r,r,55.9,45.1,True,1294_29_r,1294_29_r,rr_True,r_True,13_True,13_rr,13_rr_True,13_r,13_r_True,13_r,13_r_True
1294_29_rt,img/1294_29_rt.jpeg,1294,1294_29,Torse nue au collier d'ambre,ARCHES,55.9 x 45.1 cm,0.34,2521,1929,13,prints/13_1929_1294-102001.jpg,rt,r,t,55.9,45.1,True,1294_29_r,1294_29_t,rt_True,r_True,13_True,13_rt,13_rt_True,13_r,13_r_True,13_t,13_t_True
1294_29_vr,img/1294_29_vr.jpeg,1294,1294_29,Torse nue au collier d'ambre,ARCHES,55.9 x 45.1 cm,0.34,2521,1929,13,prints/13_1929_1294-102001.jpg,vr,v,r,55.9,45.1,True,1294_29_v,1294_29_r,vr_True,v_True,13_True,13_vr,13_vr_True,13_v,13_v_True,13_r,13_r_True
1294_29_vt,img/1294_29_vt.jpeg,1294,1294_29,Torse nue au collier d'ambre,ARCHES,55.9 x 45.1 cm,0.34,2521,1929,13,prints/13_1929_1294-102001.jpg,vt,v,t,55.9,45.1,True,1294_29_v,1294_29_t,vt_True,v_True,13_True,13_vt,13_vt_True,13_v,13_v_True,13_t,13_t_True
1294_40_rr,img/1294_40_rr.jpeg,1294,1294_40,Torse nue au collier d'ambre,ARCHES,55.9 x 45.1 cm,0.397,2521,1929,13,prints/13_1929_1294-102001.jpg,rr,r,r,55.9,45.1,True,1294_40_r,1294_40_r,rr_True,r_True,13_True,13_rr,13_rr_True,13_r,13_r_True,13_r,13_r_True
1294_40_rt,img/1294_40_rt.jpeg,1294,1294_40,Torse nue au collier d'ambre,ARCHES,55.9 x 45.1 cm,0.397,2521,1929,13,prints/13_1929_1294-102001.jpg,rt,r,t,55.9,45.1,True,1294_40_r,1294_40_t,rt_True,r_True,13_True,13_rt,13_rt_True,13_r,13_r_True,13_t,13_t_True
1294_40_vr,img/1294_40_vr.jpeg,1294,1294_40,Torse nue au collier d'ambre,ARCHES,55.9 x 45.1 cm,0.397,2521,1929,13,prints/13_1929_1294-102001.jpg,vr,v,r,55.9,45.1,True,1294_40_v,1294_40_r,vr_True,v_True,13_True,13_vr,13_vr_True,13_v,13_v_True,13_r,13_r_True
1294_40_vt,img/1294_40_vt.jpeg,1294,1294_40,Torse nue au collier d'ambre,ARCHES,55.9 x 45.1 cm,0.397,2521,1929,13,prints/13_1929_1294-102001.jpg,vt,v,t,55.9,45.1,True,1294_40_v,1294_40_t,vt_True,v_True,13_True,13_vt,13_vt_True,13_v,13_v_True,13_t,13_t_True
1294_41_rr,img/1294_41_rr.jpeg,1294,1294_41,Torse nue au collier d'ambre,ARCHES,55.9 x 45.1 cm,0.423,2521,1929,13,prints/13_1929_1294-102001.jpg,rr,r,r,55.9,45.1,True,1294_41_r,1294_41_r,rr_True,r_True,13_True,13_rr,13_rr_True,13_r,13_r_True,13_r,13_r_True
1294_41_rt,img/1294_41_rt.jpeg,1294,1294_41,Torse nue au collier d'ambre,ARCHES,55.9 x 45.1 cm,0.423,2521,1929,13,prints/13_1929_1294-102001.jpg,rt,r,t,55.9,45.1,True,1294_41_r,1294_41_t,rt_True,r_True,13_True,13_rt,13_rt_True,13_r,13_r_True,13_t,13_t_True
1294_41_vr,img/1294_41_vr.jpeg,1294,1294_41,Torse nue au collier d'ambre,ARCHES,55.9 x 45.1 cm,0.423,2521,1929,13,prints/13_1929_1294-102001.jpg,vr,v,r,55.9,45.1,True,1294_41_v,1294_41_r,vr_True,v_True,13_True,13_vr,13_vr_True,13_v,13_v_True,13_r,13_r_True
1294_41_vt,img/1294_41_vt.jpeg,1294,1294_41,Torse nue au collier d'ambre,ARCHES,55.9 x 45.1 cm,0.423,2521,1929,13,prints/13_1929_1294-102001.jpg,vt,v,t,55.9,45.1,True,1294_41_v,1294_41_t,vt_True,v_True,13_True,13_vt,13_vt_True,13_v,13_v_True,13_t,13_t_True
